"","Station","Date.local.","Amount.MJ.m2.","Period.Hrs.","Type","Freq"
"106","Christchurch Aero","20160305:0900",0.22,1,"G","H"
"107","Christchurch Aero","20160305:1000",0.93,1,"G","H"
"108","Christchurch Aero","20160305:1100",1.87,1,"G","H"
"109","Christchurch Aero","20160305:1200",2.49,1,"G","H"
"110","Christchurch Aero","20160305:1300",2.62,1,"G","H"
"111","Christchurch Aero","20160305:1400",2.82,1,"G","H"
"112","Christchurch Aero","20160305:1500",2.63,1,"G","H"
"113","Christchurch Aero","20160305:1600",1.84,1,"G","H"
"114","Christchurch Aero","20160305:1700",1.56,1,"G","H"
"115","Christchurch Aero","20160305:1800",1.8,1,"G","H"
"116","Christchurch Aero","20160305:1900",1.02,1,"G","H"
"117","Christchurch Aero","20160305:2000",0.33,1,"G","H"
"118","Christchurch Aero","20160305:2100",0.01,1,"G","H"
"119","Christchurch Aero","20160305:2200",0,1,"G","H"
"120","Christchurch Aero","20160305:2300",0,1,"G","H"
"121","Christchurch Aero","20160306:0000",0,1,"G","H"
"122","Christchurch Aero","20160306:0100",0,1,"G","H"
"123","Christchurch Aero","20160306:0200",0,1,"G","H"
"124","Christchurch Aero","20160306:0300",0,1,"G","H"
"125","Christchurch Aero","20160306:0400",0,1,"G","H"
"126","Christchurch Aero","20160306:0500",0,1,"G","H"
"127","Christchurch Aero","20160306:0600",0,1,"G","H"
"128","Christchurch Aero","20160306:0700",0,1,"G","H"
"129","Christchurch Aero","20160306:0800",0.05,1,"G","H"
"130","Christchurch Aero","20160306:0900",0.56,1,"G","H"
"131","Christchurch Aero","20160306:1000",1.21,1,"G","H"
"132","Christchurch Aero","20160306:1100",1.84,1,"G","H"
"133","Christchurch Aero","20160306:1200",2.36,1,"G","H"
"134","Christchurch Aero","20160306:1300",2.73,1,"G","H"
"135","Christchurch Aero","20160306:1400",2.9,1,"G","H"
"136","Christchurch Aero","20160306:1500",2.76,1,"G","H"
"137","Christchurch Aero","20160306:1600",2.9,1,"G","H"
"138","Christchurch Aero","20160306:1700",2.36,1,"G","H"
"139","Christchurch Aero","20160306:1800",1.64,1,"G","H"
"140","Christchurch Aero","20160306:1900",0.87,1,"G","H"
"141","Christchurch Aero","20160306:2000",0.32,1,"G","H"
"142","Christchurch Aero","20160306:2100",0,1,"G","H"
"143","Christchurch Aero","20160306:2200",0,1,"G","H"
"144","Christchurch Aero","20160306:2300",0,1,"G","H"
"145","Christchurch Aero","20160307:0000",0,1,"G","H"
"146","Christchurch Aero","20160307:0100",0,1,"G","H"
"147","Christchurch Aero","20160307:0200",0,1,"G","H"
