"","Station","Date.local.","Amount.MJ.m2.","Period.Hrs.","Type","Freq"
"102","Pukekohe Ews","20160305:0500",0,1,"G","H"
"103","Pukekohe Ews","20160305:0600",0,1,"G","H"
"104","Pukekohe Ews","20160305:0700",0,1,"G","H"
"105","Pukekohe Ews","20160305:0800",0.13,1,"G","H"
"106","Pukekohe Ews","20160305:0900",0.78,1,"G","H"
"107","Pukekohe Ews","20160305:1000",1.51,1,"G","H"
"108","Pukekohe Ews","20160305:1100",2.14,1,"G","H"
"109","Pukekohe Ews","20160305:1200",2.61,1,"G","H"
"110","Pukekohe Ews","20160305:1300",2.53,1,"G","H"
"111","Pukekohe Ews","20160305:1400",3.07,1,"G","H"
"112","Pukekohe Ews","20160305:1500",3.12,1,"G","H"
"113","Pukekohe Ews","20160305:1600",2.76,1,"G","H"
"114","Pukekohe Ews","20160305:1700",2.17,1,"G","H"
"115","Pukekohe Ews","20160305:1800",1.59,1,"G","H"
"116","Pukekohe Ews","20160305:1900",0.86,1,"G","H"
"117","Pukekohe Ews","20160305:2000",0.13,1,"G","H"
"118","Pukekohe Ews","20160305:2100",0,1,"G","H"
"119","Pukekohe Ews","20160305:2200",0,1,"G","H"
"120","Pukekohe Ews","20160305:2300",0,1,"G","H"
"121","Pukekohe Ews","20160306:0000",0,1,"G","H"
"122","Pukekohe Ews","20160306:0100",0,1,"G","H"
"123","Pukekohe Ews","20160306:0200",0,1,"G","H"
"124","Pukekohe Ews","20160306:0300",0,1,"G","H"
"125","Pukekohe Ews","20160306:0400",0,1,"G","H"
"126","Pukekohe Ews","20160306:0500",0,1,"G","H"
"127","Pukekohe Ews","20160306:0600",0,1,"G","H"
"128","Pukekohe Ews","20160306:0700",0,1,"G","H"
"129","Pukekohe Ews","20160306:0800",0.05,1,"G","H"
"130","Pukekohe Ews","20160306:0900",0.36,1,"G","H"
"131","Pukekohe Ews","20160306:1000",1.38,1,"G","H"
"132","Pukekohe Ews","20160306:1100",2.02,1,"G","H"
"133","Pukekohe Ews","20160306:1200",1.59,1,"G","H"
"134","Pukekohe Ews","20160306:1300",2.14,1,"G","H"
"135","Pukekohe Ews","20160306:1400",2.97,1,"G","H"
"136","Pukekohe Ews","20160306:1500",2.12,1,"G","H"
"137","Pukekohe Ews","20160306:1600",1.74,1,"G","H"
"138","Pukekohe Ews","20160306:1700",1.84,1,"G","H"
"139","Pukekohe Ews","20160306:1800",1.09,1,"G","H"
"140","Pukekohe Ews","20160306:1900",0.78,1,"G","H"
"141","Pukekohe Ews","20160306:2000",0.09,1,"G","H"
"142","Pukekohe Ews","20160306:2100",0,1,"G","H"
"143","Pukekohe Ews","20160306:2200",0,1,"G","H"
"144","Pukekohe Ews","20160306:2300",0,1,"G","H"
"145","Pukekohe Ews","20160307:0000",0,1,"G","H"
"146","Pukekohe Ews","20160307:0100",0,1,"G","H"
"147","Pukekohe Ews","20160307:0200",0,1,"G","H"
"148","Pukekohe Ews","20160307:0300",0,1,"G","H"
"149","Pukekohe Ews","20160307:0400",0,1,"G","H"
"150","Pukekohe Ews","20160307:0500",0,1,"G","H"
"151","Pukekohe Ews","20160307:0600",0,1,"G","H"
"152","Pukekohe Ews","20160307:0700",0,1,"G","H"
"153","Pukekohe Ews","20160307:0800",0.05,1,"G","H"
"154","Pukekohe Ews","20160307:0900",0.32,1,"G","H"
"155","Pukekohe Ews","20160307:1000",0.8,1,"G","H"
"156","Pukekohe Ews","20160307:1100",1.56,1,"G","H"
"157","Pukekohe Ews","20160307:1200",2.42,1,"G","H"
"158","Pukekohe Ews","20160307:1300",1.55,1,"G","H"
"159","Pukekohe Ews","20160307:1400",1.07,1,"G","H"
"160","Pukekohe Ews","20160307:1500",0.96,1,"G","H"
"161","Pukekohe Ews","20160307:1600",0.82,1,"G","H"
"162","Pukekohe Ews","20160307:1700",0.63,1,"G","H"
"163","Pukekohe Ews","20160307:1800",0.46,1,"G","H"
"164","Pukekohe Ews","20160307:1900",0.21,1,"G","H"
"165","Pukekohe Ews","20160307:2000",0.05,1,"G","H"
