2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0.364645712,0.370312516,0.342060785,0.204413871,0.28586497,0.270979284,0.385418352,0.422437774,0.224490867,0.214634137,0.212519395,0.316198252,0.422437774
0.3206433,0.480018709,0.305938253,0.375678706,0.318765121,0.407443652,0.472103724,0.391793137,0.374934591,0.391159967,0.466534965,0.39252649,0.391793137
0.45084307,0.578201116,0.550738825,0.753592408,0.535095159,0.629168739,0.498608223,0.606710347,0.420181289,0.45294196,0.579236327,0.590930948,0.606710347
0.494417259,0.465567921,0.42720202,0.486007647,0.48034355,0.419462579,0.531403737,0.451246798,0.461444381,0.4015651,0.361151759,0.475112993,0.451246798
