Trading_period,Load,Price,Trading_date,Season,Solar,Load_raw
16,5887.8405471915,522.24,2019-05-01,Autumn,0.001314060446780552,5940.876
36,5876.223421121422,437.82,2019-05-20,Autumn,0.06307490144546649,5970.016
37,5872.704427334513,157.56,2019-05-20,Autumn,0.002628120893561104,5972.96
17,5871.574327121937,544.66,2019-05-01,Autumn,0.035479632063074903,5919.3
37,5851.529181474429,337.77,2019-05-01,Autumn,0.017082785808147174,5918.736
38,5831.347050214055,165.96,2019-05-01,Autumn,0.017082785808147174,5895.724
38,5773.190880447393,147.1,2019-05-20,Autumn,0.002628120893561104,5904.906
15,5746.827378931567,369.35,2019-05-01,Autumn,0.001314060446780552,5802.434
18,5725.89205390938,366.03,2019-05-01,Autumn,0.035479632063074903,5768.366
39,5724.39763330355,152.57,2019-05-01,Autumn,0.001314060446780552,5777.286
16,5680.617922674014,350.93,2019-05-03,Autumn,0.001314060446780552,5702.422
17,5670.419487479031,294.27,2019-05-03,Autumn,0.026281208935611037,5706.822
36,5662.3847567619105,170.94,2019-05-01,Autumn,0.14848883048620234,5697.19
37,5620.120067593201,140.71,2019-05-02,Autumn,0.01445466491458607,5748.922
40,5617.721778606537,145.49,2019-05-01,Autumn,0.001314060446780552,5639.844
37,5611.225948399498,952.42,2019-05-13,Autumn,0.006570302233902759,5814.73
37,5607.38778808532,204.94,2019-05-07,Autumn,0.002628120893561104,5796.71
38,5606.764139958493,140.12,2019-05-02,Autumn,0.01445466491458607,5727.484
36,5580.835808292417,188.39,2019-05-07,Autumn,0.035479632063074903,5705.238
39,5574.627604853362,147.45,2019-05-20,Autumn,0.0,5764.294
17,5570.046729258585,347.97,2019-05-06,Autumn,0.013140604467805518,5635.994
35,5562.386132464635,206.06,2019-05-20,Autumn,0.06307490144546649,5658.58
41,5553.67382445506,201.96,2019-05-01,Autumn,0.001314060446780552,5558.678
38,5550.155233594348,197.51,2019-05-07,Autumn,0.002628120893561104,5739.146
36,5547.191761446044,337.82,2019-05-13,Autumn,0.09986859395532194,5747.098
19,5539.215827421821,288.72,2019-05-01,Autumn,0.164257555847569,5577.554
38,5539.006987728184,250.21,2019-05-13,Autumn,0.006570302233902759,5743.23
16,5496.846554950881,218.02,2019-05-06,Autumn,0.001314060446780552,5584.93
16,5494.929023730958,291.24,2019-05-07,Autumn,0.001314060446780552,5599.912
37,5494.7387904284715,178.17,2019-05-06,Autumn,0.003942181340341655,5823.662
15,5493.849151896216,241.32,2019-05-03,Autumn,0.001314060446780552,5503.494
37,5489.998,197.01,2019-05-03,Autumn,0.01445466491458607,5489.998
39,5475.524260010245,135.76,2019-05-02,Autumn,0.001314060446780552,5594.502
38,5460.06,196.89,2019-05-03,Autumn,0.01445466491458607,5460.06
36,5454.824524341188,140.35,2019-05-02,Autumn,0.11432325886990799,5575.782
18,5451.58470409925,217.44,2019-05-06,Autumn,0.013140604467805518,5532.266
39,5441.810132500996,140.33,2019-05-07,Autumn,0.0,5591.052
39,5436.936945662332,178.9,2019-05-13,Autumn,0.0,5596.956
18,5421.161680137509,167.65,2019-05-03,Autumn,0.026281208935611037,5504.356
37,5420.925816520843,454.8,2019-04-29,Autumn,0.006570302233902759,5832.346
42,5413.8696307512055,257.13,2019-05-01,Autumn,0.001314060446780552,5418.316
17,5411.39572383004,168.78,2019-05-07,Autumn,0.02102496714848883,5588.124
36,5358.574,167.37,2019-05-03,Autumn,0.13797634691195793,5358.574
38,5354.901848719435,159.68,2019-05-06,Autumn,0.003942181340341655,5728.882
20,5350.968829021653,144.21,2019-05-01,Autumn,0.164257555847569,5381.834
40,5346.051830020446,130.3,2019-05-02,Autumn,0.001314060446780552,5480.086
37,5342.768412620455,186.59,2019-05-05,Autumn,0.00788436268068331,5396.524
39,5326.5,163.63,2019-05-03,Autumn,0.001314060446780552,5326.5
38,5318.558943455584,145.07,2019-04-23,Autumn,0.028909329829172145,5573.11
15,5313.0271786935145,188.84,2019-05-07,Autumn,0.001314060446780552,5402.602
40,5311.957457217106,144.74,2019-05-20,Autumn,0.0,5620.63
15,5308.452714804797,206.57,2019-05-06,Autumn,0.001314060446780552,5352.51
36,5307.960633259574,167.92,2019-05-06,Autumn,0.0657030223390276,5752.776
40,5305.640448462606,131.06,2019-05-07,Autumn,0.0,5408.636
37,5302.3692077213655,144.4,2019-04-23,Autumn,0.028909329829172145,5615.396
40,5301.378384346663,139.1,2019-05-13,Autumn,0.0,5417.832
17,5299.674974986128,204.95,2019-04-18,Autumn,0.04599211563731932,5503.55
38,5289.83351247759,224.95,2019-04-29,Autumn,0.006570302233902759,5798.58
35,5288.772157427307,133.71,2019-05-01,Autumn,0.14848883048620234,5304.506
17,5285.34624854344,188.58,2019-04-17,Autumn,0.056504599211563734,5479.188
38,5285.197248608867,311.17,2019-05-23,Autumn,0.002628120893561104,5803.632
19,5282.470136181076,165.56,2019-05-03,Autumn,0.1471747700394218,5365.992
35,5280.365193196823,134.33,2019-05-07,Autumn,0.035479632063074903,5368.686
37,5275.914328226309,133.18,2019-04-24,Autumn,0.006570302233902759,5416.992
19,5271.36969910056,201.77,2019-05-06,Autumn,0.05781865965834428,5431.724
37,5270.421610482857,338.11,2019-05-23,Autumn,0.002628120893561104,5832.152
38,5262.709995479347,161.74,2019-05-05,Autumn,0.00788436268068331,5300.432
18,5252.925534085669,169.14,2019-04-17,Autumn,0.056504599211563734,5422.96
36,5249.156395140752,140.94,2019-05-27,Autumn,0.04993429697766097,5952.94
37,5246.918646487937,178.59,2019-05-08,Autumn,0.006570302233902759,5738.968
18,5244.970209490215,192.72,2019-04-18,Autumn,0.04599211563731932,5451.212
41,5239.603160023563,134.33,2019-05-02,Autumn,0.001314060446780552,5378.868
41,5223.96701350091,138.5,2019-05-13,Autumn,0.0,5312.46
36,5223.645760172522,199.2,2019-04-29,Autumn,0.06044678055190538,5684.0
17,5218.4836532889785,172.32,2019-05-08,Autumn,0.01576872536136662,5553.352
16,5217.692249380434,191.16,2019-04-17,Autumn,0.001314060446780552,5474.118
36,5217.592473384492,169.99,2019-05-05,Autumn,0.07621550591327202,5277.132
36,5216.62861143428,336.23,2019-05-23,Autumn,0.06176084099868594,5804.756
16,5215.524061145003,194.48,2019-04-18,Autumn,0.001314060446780552,5446.786
16,5212.885579170697,253.35,2019-03-08,Autumn,0.001314060446780552,5247.788
18,5211.65959572724,140.54,2019-05-07,Autumn,0.02102496714848883,5440.896
43,5210.526221591705,197.69,2019-05-01,Autumn,0.001314060446780552,5213.478
21,5207.047179401659,132.88,2019-05-01,Autumn,0.2917214191852825,5250.35
14,5205.404987998394,210.37,2019-05-01,Autumn,0.001314060446780552,5264.156
37,5204.945108043237,130.56,2019-05-27,Autumn,0.001314060446780552,5905.53
16,5198.993372187687,135.33,2019-05-08,Autumn,0.0,5523.46
38,5189.5713504933055,107.19,2019-04-24,Autumn,0.006570302233902759,5361.072
17,5189.275288256171,141.61,2019-04-24,Autumn,0.01576872536136662,5237.088
