Trading_period,Load,Price,Trading_date,Season,Solar,Load_raw
35,5291.637107013952,332.16,2019-12-16,Summer,0.3219448094612352,5331.184
24,5288.833764576964,170.32,2020-02-20,Summer,0.3771353482260184,5296.746
34,5280.573485542924,329.48,2019-12-16,Summer,0.29040735873850193,5316.5
26,5270.846831143661,215.21,2020-02-20,Summer,0.469119579500657,5292.11
35,5267.63381713641,133.72,2020-02-18,Summer,0.5558475689881734,5501.516
27,5265.929854255589,217.1,2020-02-20,Summer,0.5479632063074901,5297.18
36,5265.122347997776,332.67,2019-12-16,Summer,0.3219448094612352,5330.688
32,5264.930821203018,216.37,2020-02-20,Summer,0.6793692509855453,5377.008
25,5264.918064210391,215.21,2020-02-20,Summer,0.469119579500657,5275.618
31,5262.107206303795,215.49,2020-02-20,Summer,0.6793692509855453,5317.252
32,5260.103631230309,120.54,2020-02-26,Summer,0.659658344283837,5272.64
36,5259.816930253909,121.92,2020-02-18,Summer,0.5558475689881734,5455.366
33,5253.193857876558,324.53,2019-12-16,Summer,0.29040735873850193,5304.06
23,5247.649618133476,222.63,2020-02-20,Summer,0.3771353482260184,5264.266
32,5247.48506754054,323.38,2019-12-16,Summer,0.2680683311432326,5294.786
20,5244.8343002614465,163.87,2020-02-20,Summer,0.17082785808147172,5279.046
33,5243.184855341437,130.0,2020-02-26,Summer,0.6136662286465177,5278.248
28,5239.101687336113,215.27,2020-02-20,Summer,0.5479632063074901,5274.64
34,5236.366663824011,129.38,2020-02-26,Summer,0.6136662286465177,5302.158
36,5236.201859993373,251.36,2019-12-17,Summer,0.15768725361366623,5300.108
30,5232.327521362702,215.33,2020-02-20,Summer,0.5413929040735874,5288.24
34,5232.262433477498,309.37,2020-01-21,Summer,0.8318002628120893,5253.048
29,5228.364168306098,215.32,2020-02-20,Summer,0.5413929040735874,5290.694
36,5228.123887769655,115.61,2020-02-17,Summer,0.4954007884362681,5493.82
19,5224.506221899705,163.91,2020-02-20,Summer,0.17082785808147172,5286.882
33,5221.8764268046025,267.29,2020-02-20,Summer,0.7030223390275951,5380.096
34,5220.647272751947,115.59,2020-02-17,Summer,0.5295663600525624,5458.14
22,5212.464549720676,221.14,2020-02-20,Summer,0.31274638633377133,5229.8
34,5212.428366932528,133.59,2020-02-18,Summer,0.4178712220762155,5506.438
36,5210.59409611364,403.79,2020-01-21,Summer,0.683311432325887,5217.932
33,5207.540360126877,121.69,2020-02-17,Summer,0.5295663600525624,5463.492
37,5202.615750799196,116.86,2020-02-18,Summer,0.4862023653088042,5369.244
35,5201.695034633339,374.67,2020-01-21,Summer,0.683311432325887,5212.502
21,5200.910815358367,167.65,2020-02-20,Summer,0.31274638633377133,5233.098
32,5200.1397023770005,118.97,2020-02-17,Summer,0.442838370565046,5492.484
17,5197.7596106771825,263.53,2020-02-12,Summer,0.04467805519053877,5198.028
38,5196.089440089586,227.3,2019-12-16,Summer,0.14191852825229961,5220.59
35,5194.571439119572,129.59,2020-02-26,Summer,0.6268068331143232,5293.26
17,5191.008842930179,130.83,2020-02-20,Summer,0.0328515111695138,5308.194
33,5188.4730663293985,423.62,2020-01-21,Summer,0.8318002628120893,5242.406
31,5180.925882816488,309.05,2019-12-16,Summer,0.2680683311432326,5251.126
19,5179.619232258588,231.35,2020-01-24,Summer,0.19053876478318005,5236.89
31,5172.146952431479,116.15,2020-02-26,Summer,0.659658344283837,5200.838
36,5169.675443316971,129.24,2020-02-26,Summer,0.6268068331143232,5274.544
33,5166.105384261408,133.59,2020-02-18,Summer,0.4178712220762155,5487.24
37,5162.369920114005,84.23,2020-02-17,Summer,0.342969776609724,5413.25
37,5155.089181058492,226.89,2019-12-16,Summer,0.14191852825229961,5237.682
27,5153.119667825779,306.97,2020-02-12,Summer,0.8475689881734558,5159.662
17,5150.555656156647,89.31,2020-02-18,Summer,0.04204993429697766,5296.312
32,5148.869576105161,420.9,2020-01-21,Summer,0.8817345597897502,5226.94
34,5144.525174703597,280.8,2020-02-20,Summer,0.7030223390275951,5381.36
18,5143.185624197573,187.98,2020-01-24,Summer,0.06044678055190538,5206.752
20,5141.460581648572,234.81,2020-01-24,Summer,0.19053876478318005,5242.87
16,5140.169252390303,262.19,2020-02-12,Summer,0.001314060446780552,5151.98
20,5139.904918626391,300.94,2019-12-16,Summer,0.266754270696452,5229.53
19,5137.394352287402,87.83,2020-02-18,Summer,0.14586070959264127,5334.758
19,5136.129618508946,300.94,2019-12-16,Summer,0.266754270696452,5247.916
28,5135.914960130097,306.81,2020-02-12,Summer,0.8475689881734558,5145.282
34,5135.381490586512,310.87,2019-12-11,Summer,0.7043363994743758,5231.132
24,5133.245183591678,270.23,2020-02-12,Summer,0.48620236530880423,5133.34
22,5132.796301710698,299.67,2019-12-16,Summer,0.4165571616294349,5211.284
21,5132.559636453977,279.71,2019-12-16,Summer,0.4165571616294349,5212.756
33,5131.083686122148,222.5,2020-02-12,Summer,0.800262812089356,5276.668
37,5130.083476762126,256.57,2020-01-21,Summer,0.4967148488830486,5133.628
18,5129.1369462890925,91.25,2020-02-18,Summer,0.04204993429697766,5305.216
19,5129.118,260.4,2020-02-12,Summer,0.2102496714848883,5129.118
26,5127.798076501444,305.11,2020-02-12,Summer,0.683311432325887,5130.592
18,5127.6196485933115,260.9,2020-02-12,Summer,0.04467805519053877,5127.638
32,5125.645014337048,226.09,2020-02-12,Summer,0.8028909329829171,5261.936
25,5120.965808569576,282.19,2020-02-12,Summer,0.683311432325887,5122.072
18,5119.09689992119,107.83,2020-02-20,Summer,0.0328515111695138,5228.83
18,5117.595152669622,300.56,2019-12-16,Summer,0.13797634691195795,5253.732
38,5116.808840859052,95.14,2020-02-18,Summer,0.4862023653088042,5325.142
29,5113.536042508731,307.46,2020-02-12,Summer,0.8396846254927727,5150.812
35,5111.554467090716,115.55,2020-02-17,Summer,0.4954007884362681,5359.426
23,5111.188894820656,161.95,2020-02-12,Summer,0.48620236530880423,5111.338
23,5110.665451411664,252.35,2019-12-16,Summer,0.38896189224704336,5216.818
38,5105.045571724056,291.03,2020-02-13,Summer,0.5124835742444153,5265.578
22,5102.2560533859105,261.7,2020-02-12,Summer,0.354796320630749,5103.598
34,5102.154153904536,153.48,2019-12-17,Summer,0.164257555847569,5243.494
31,5100.119863845224,319.63,2020-01-21,Summer,0.8817345597897502,5195.7
30,5099.590205008146,108.36,2020-02-26,Summer,0.7069645203679369,5159.674
23,5098.815602644352,265.24,2020-01-24,Summer,0.5059132720105125,5244.54
33,5097.840674708649,321.09,2019-12-11,Summer,0.7043363994743758,5224.93
29,5097.088682502322,96.93,2020-02-26,Summer,0.7069645203679369,5166.298
38,5096.712945779935,207.21,2020-01-21,Summer,0.4967148488830486,5096.768
35,5095.611153831235,172.15,2019-12-11,Summer,0.7017082785808146,5221.872
39,5093.839429009254,95.05,2019-12-16,Summer,0.0683311432325887,5124.876
20,5093.291790134762,172.33,2020-02-12,Summer,0.2102496714848883,5099.028
17,5087.762195030679,149.94,2020-01-24,Summer,0.06044678055190538,5152.314
17,5086.91137714792,297.74,2019-12-16,Summer,0.13797634691195795,5246.422
35,5086.612873684809,154.89,2019-12-17,Summer,0.15768725361366623,5255.604
21,5086.419291512861,172.15,2020-02-12,Summer,0.354796320630749,5088.346
16,5085.302581869695,106.12,2020-02-20,Summer,0.001314060446780552,5266.162
33,5084.585473429396,205.27,2019-12-17,Summer,0.164257555847569,5224.22
24,5081.900022134757,235.66,2019-12-16,Summer,0.38896189224704336,5209.622
32,5080.617755438148,321.52,2019-12-11,Summer,0.7674113009198422,5225.216
20,5076.027909517685,87.49,2020-02-18,Summer,0.14586070959264127,5304.436
18,5072.93139958153,218.44,2019-12-17,Summer,0.024967148488830485,5238.35
24,5069.100061210996,233.76,2020-01-24,Summer,0.5059132720105125,5247.66
21,5066.221170839698,231.82,2020-01-24,Summer,0.31537450722733246,5207.084
31,5065.045420563738,113.66,2020-02-17,Summer,0.442838370565046,5414.138
17,5063.033338064033,218.28,2019-12-17,Summer,0.024967148488830485,5266.836
22,5061.87342077855,87.05,2020-02-18,Summer,0.3731931668856767,5335.542
36,5060.153733218593,172.15,2019-12-11,Summer,0.7017082785808146,5226.316
37,5055.679273734052,116.2,2020-02-26,Summer,0.45335085413929044,5177.568
32,5055.088439329755,183.17,2020-02-18,Summer,0.5282522996057818,5472.916
27,5053.9059323848605,100.65,2020-02-26,Summer,0.7174770039421813,5149.852
16,5053.184559876572,116.66,2020-02-18,Summer,0.001314060446780552,5258.464
35,5052.9513874304475,176.4,2020-02-20,Summer,0.5873850197109067,5292.282
30,5052.293452290839,243.27,2019-12-16,Summer,0.328515111695138,5221.954
28,5051.861279993914,105.19,2020-02-26,Summer,0.7174770039421813,5149.868
36,5049.811809463691,164.09,2020-02-20,Summer,0.5873850197109067,5345.164
20,5049.763581870629,175.32,2019-12-17,Summer,0.07490144546649147,5162.442
22,5049.7403024787845,233.92,2020-01-24,Summer,0.31537450722733246,5220.966
25,5046.214841123686,243.43,2019-12-16,Summer,0.38107752956636004,5181.844
30,5045.3219017189185,319.49,2020-01-21,Summer,0.7135348226018396,5161.364
29,5041.007036362948,90.49,2020-02-17,Summer,0.6609724047306176,5389.23
19,5040.473730905784,173.19,2019-12-17,Summer,0.07490144546649147,5179.634
28,5040.2676609025,90.74,2020-02-17,Summer,0.4980289093298292,5376.134
34,5038.361651533997,171.85,2020-02-12,Summer,0.800262812089356,5258.86
23,5035.241657171293,87.06,2020-02-18,Summer,0.33902759526938236,5353.714
21,5033.284015568461,83.44,2020-02-18,Summer,0.3731931668856767,5321.812
30,5032.932363885163,480.82,2019-12-02,Summer,0.5571616294349541,5143.886
30,5032.449687411107,169.28,2020-02-12,Summer,0.8396846254927727,5117.828
19,5029.306015290722,89.63,2020-02-19,Summer,0.09461235216819973,5285.968
31,5025.750055466785,152.65,2019-12-17,Summer,0.25229960578186594,5119.114
31,5025.103659454224,222.07,2020-02-12,Summer,0.8028909329829171,5161.916
29,5024.623954282673,242.41,2019-12-16,Summer,0.328515111695138,5195.568
37,5021.044743563315,103.9,2019-12-17,Summer,0.07227332457293036,5215.982
32,5020.980490210985,152.53,2019-12-17,Summer,0.25229960578186594,5175.714
21,5018.641313266761,224.69,2019-12-17,Summer,0.11695137976346913,5136.76
39,5017.230903789678,169.58,2020-01-21,Summer,0.3863337713534823,5022.468
26,5015.748786837023,96.61,2020-02-26,Summer,0.5873850197109066,5130.324
30,5014.507471992686,173.0,2019-12-17,Summer,0.3758212877792378,5052.77
17,5012.301346795359,117.21,2019-12-10,Summer,0.2049934296977661,5261.576
27,5011.03819959271,89.95,2020-02-17,Summer,0.4980289093298292,5359.38
23,5010.761654037508,173.41,2019-12-17,Summer,0.22207621550591325,5113.086
22,5010.4918214742465,224.65,2019-12-17,Summer,0.11695137976346913,5130.576
25,5010.146321063955,231.45,2020-01-24,Summer,0.6097240473061761,5208.366
