Trading_period,Load,Price,Trading_date,Season,Solar,Load_raw
38,5812.253245086453,120.35,2019-09-02,Spring,0.06044678055190538,5925.326
17,5794.888551910371,532.55,2019-10-03,Spring,0.04467805519053877,5928.018
18,5785.981128897642,532.14,2019-10-03,Spring,0.04467805519053877,5897.11
17,5767.343988392193,206.76,2019-09-18,Spring,0.12352168199737187,5824.608
17,5760.102072324296,545.83,2019-10-04,Spring,0.05650459921156373,5793.454
16,5753.998114361415,155.62,2019-09-18,Spring,0.007884362680683312,5863.262
16,5725.811521711175,154.67,2019-09-20,Spring,0.018396846254927723,5840.196
16,5721.2936283374265,216.43,2019-09-19,Spring,0.009198423127463863,5827.812
17,5720.747438330303,216.77,2019-09-19,Spring,0.11826544021024965,5807.524
18,5713.138360165939,510.91,2019-10-04,Spring,0.05650459921156373,5726.15
16,5701.870531117527,649.04,2019-10-04,Spring,0.001314060446780552,5749.126
39,5680.897960813213,103.86,2019-09-02,Spring,0.0,5837.234
37,5677.818850423536,117.08,2019-09-02,Spring,0.06044678055190538,5782.62
17,5671.015468339103,135.38,2019-09-20,Spring,0.16951379763469118,5803.708
19,5669.2587315506635,302.48,2019-10-03,Spring,0.19710906701708278,5767.294
15,5622.1522763084995,230.53,2019-09-19,Spring,0.009198423127463863,5732.776
39,5613.5491292623165,136.79,2019-09-18,Spring,0.006570302233902759,5685.164
16,5612.544682565381,330.69,2019-10-03,Spring,0.001314060446780552,5816.44
15,5603.632208386216,154.36,2019-09-20,Spring,0.018396846254927723,5705.026
18,5584.605879959984,140.84,2019-09-18,Spring,0.12352168199737187,5640.906
38,5578.456924036642,132.83,2019-09-18,Spring,0.12089356110381078,5705.576
40,5554.693498252706,128.7,2019-09-18,Spring,0.006570302233902759,5601.33
16,5554.413038992944,457.92,2019-09-26,Spring,0.02102496714848883,6023.01
19,5554.15967376033,370.62,2019-10-04,Spring,0.20367936925098554,5584.296
18,5542.237577268658,127.67,2019-09-20,Spring,0.16951379763469118,5667.234
20,5541.004924012211,214.28,2019-10-03,Spring,0.19710906701708278,5622.454
18,5513.149468792161,168.79,2019-09-19,Spring,0.11826544021024965,5602.894
40,5512.434963282651,102.18,2019-09-02,Spring,0.0,5701.952
38,5507.6820104478375,120.4,2019-09-19,Spring,0.10643889618922471,5727.932
15,5479.747052509426,458.14,2019-09-26,Spring,0.02102496714848883,5891.586
15,5472.838400802755,628.82,2019-10-04,Spring,0.001314060446780552,5514.07
15,5472.569473237484,153.02,2019-09-18,Spring,0.007884362680683312,5735.732
39,5464.623409308304,115.31,2019-09-19,Spring,0.010512483574244415,5689.14
41,5430.5388503937875,134.55,2019-09-18,Spring,0.0,5477.57
36,5423.574015453345,95.48,2019-09-02,Spring,0.21681997371879105,5512.366
19,5417.188220543561,112.35,2019-09-18,Spring,0.2706964520367937,5452.324
19,5411.442022252163,162.75,2019-09-20,Spring,0.2509855453350854,5528.236
21,5400.361377844968,170.88,2019-10-03,Spring,0.33902759526938236,5484.474
15,5399.920991377558,501.67,2019-10-03,Spring,0.001314060446780552,5611.778
39,5377.619263970349,136.3,2019-09-11,Spring,0.002628120893561104,6033.662
38,5376.321702895939,144.24,2019-09-11,Spring,0.08278580814717476,6055.062
40,5374.596838291822,113.76,2019-09-19,Spring,0.010512483574244415,5589.682
20,5364.606078353199,174.71,2019-10-04,Spring,0.20367936925098554,5420.312
16,5348.387875593311,162.79,2019-09-02,Spring,0.001314060446780552,5931.218
40,5326.118718085829,149.24,2019-09-11,Spring,0.002628120893561104,5952.644
38,5302.717511226034,148.33,2019-09-20,Spring,0.11957950065703023,5469.192
19,5301.2756489099365,168.94,2019-09-19,Spring,0.25886990801576876,5407.188
17,5297.54991664209,341.77,2019-09-26,Spring,0.1169513797634691,5955.006
37,5296.778806573335,180.03,2019-09-06,Spring,0.038107752956636,5935.396
39,5294.7061843591755,135.96,2019-09-20,Spring,0.007884362680683312,5469.938
22,5293.185015329128,267.82,2019-10-03,Spring,0.33902759526938236,5404.698
38,5292.422241621624,190.98,2019-09-06,Spring,0.038107752956636,6026.976
17,5292.080102467665,126.79,2019-09-02,Spring,0.04599211563731931,5893.886
37,5283.471574637341,111.62,2019-09-18,Spring,0.12089356110381078,5432.956
23,5275.102742286829,265.9,2019-10-03,Spring,0.3784494086727989,5343.28
20,5271.548536822479,156.67,2019-09-20,Spring,0.2509855453350854,5383.164
20,5271.111506040833,112.66,2019-09-18,Spring,0.2706964520367937,5282.372
41,5255.960495817768,96.89,2019-09-02,Spring,0.0,5534.816
41,5249.17930055627,160.65,2019-09-11,Spring,0.0,5829.336
37,5244.838761147563,107.75,2019-09-19,Spring,0.10643889618922471,5484.82
41,5242.549956489324,133.42,2019-09-19,Spring,0.0,5483.924
42,5230.601367972861,127.2,2019-09-18,Spring,0.0,5313.94
39,5228.924500986924,156.94,2019-09-06,Spring,0.0,5924.522
37,5221.0076928100125,145.1,2019-09-05,Spring,0.015768725361366625,5889.576
38,5220.838894301913,247.83,2019-09-24,Spring,0.02759526938239159,5999.304
36,5218.903944795121,222.48,2019-09-06,Spring,0.11957950065703021,5814.978
17,5204.938603785554,150.11,2019-09-05,Spring,0.015768725361366625,5664.856
