Trading_period,Load,Price,Trading_date,Season,Solar,Load_raw
36,5941.657129209904,437.82,2019-05-20,Autumn,0.06307490144546649,5970.016
37,5931.510565031182,157.56,2019-05-20,Autumn,0.002628120893561104,5972.96
16,5921.49431681122,522.24,2019-05-01,Autumn,0.001314060446780552,5940.876
37,5906.101292042001,337.77,2019-05-01,Autumn,0.017082785808147174,5918.736
17,5903.756070333277,544.66,2019-05-01,Autumn,0.035479632063074903,5919.3
38,5883.237484586661,165.96,2019-05-01,Autumn,0.017082785808147174,5895.724
38,5854.404255697334,147.1,2019-05-20,Autumn,0.002628120893561104,5904.906
37,5832.152,338.11,2019-05-23,Autumn,0.002628120893561104,5832.152
36,5818.039650862566,140.94,2019-05-27,Autumn,0.04993429697766097,5952.94
36,5804.709745880519,336.23,2019-05-23,Autumn,0.06176084099868594,5804.756
38,5803.632,311.17,2019-05-23,Autumn,0.002628120893561104,5803.632
37,5783.731571874816,614.29,2019-05-17,Autumn,0.003942181340341655,5783.74
15,5781.444653895607,369.35,2019-05-01,Autumn,0.001314060446780552,5802.434
37,5767.891954046589,130.56,2019-05-27,Autumn,0.001314060446780552,5905.53
16,5767.2485280201245,467.24,2019-05-24,Autumn,0.0,5812.726
39,5765.437593225752,152.57,2019-05-01,Autumn,0.001314060446780552,5777.286
36,5763.924339143557,324.15,2019-05-17,Autumn,0.07095926412614981,5765.03
37,5761.312690344904,952.42,2019-05-13,Autumn,0.006570302233902759,5814.73
18,5752.700644907435,366.03,2019-05-01,Autumn,0.035479632063074903,5768.366
37,5748.45814627607,204.94,2019-05-07,Autumn,0.002628120893561104,5796.71
17,5742.842885554016,308.52,2019-05-24,Autumn,0.011826544021024966,5802.834
37,5736.8010243549315,178.17,2019-05-06,Autumn,0.003942181340341655,5823.662
38,5727.462,322.3,2019-05-17,Autumn,0.003942181340341655,5727.462
37,5720.162710557,140.71,2019-05-02,Autumn,0.01445466491458607,5748.922
39,5716.842604153453,147.45,2019-05-20,Autumn,0.0,5764.294
37,5713.6287959402225,454.8,2019-04-29,Autumn,0.006570302233902759,5832.346
36,5712.236609035148,135.8,2019-05-28,Autumn,0.040735873850197106,5797.864
38,5700.82835826147,140.12,2019-05-02,Autumn,0.01445466491458607,5727.484
16,5694.129445040961,350.93,2019-05-03,Autumn,0.001314060446780552,5702.422
37,5693.639007886135,139.35,2019-05-21,Autumn,0.002628120893561104,5925.884
38,5692.777182324255,250.21,2019-05-13,Autumn,0.006570302233902759,5743.23
38,5692.768244032668,184.77,2019-04-30,Autumn,0.022339027595269383,5886.866
36,5691.714205794666,337.82,2019-05-13,Autumn,0.09986859395532194,5747.098
36,5690.738325454077,170.94,2019-05-01,Autumn,0.14848883048620234,5697.19
38,5687.905952855526,197.51,2019-05-07,Autumn,0.002628120893561104,5739.146
17,5687.31809063559,294.27,2019-05-03,Autumn,0.026281208935611037,5706.822
36,5682.861008245706,140.67,2019-05-21,Autumn,0.06438896189224703,5917.426
38,5681.862886475919,84.61,2019-05-27,Autumn,0.001314060446780552,5822.41
39,5681.622,244.48,2019-05-23,Autumn,0.0,5681.622
37,5676.873952594493,183.4,2019-04-30,Autumn,0.022339027595269383,5891.856
36,5673.185465948617,188.39,2019-05-07,Autumn,0.035479632063074903,5705.238
37,5666.420561769924,178.59,2019-05-08,Autumn,0.006570302233902759,5738.968
16,5659.728433346581,180.8,2019-05-02,Autumn,0.001314060446780552,5825.14
38,5655.908163300698,224.95,2019-04-29,Autumn,0.006570302233902759,5798.58
36,5644.724557707296,167.92,2019-05-06,Autumn,0.0657030223390276,5752.776
17,5644.104656341333,141.88,2019-05-23,Autumn,0.018396846254927726,5714.722
38,5642.017312136306,159.68,2019-05-06,Autumn,0.003942181340341655,5728.882
37,5640.427363991926,143.16,2019-05-14,Autumn,0.006570302233902759,5923.616
36,5636.1216550915215,130.81,2019-05-31,Autumn,0.040735873850197106,5771.368
35,5633.35410956555,206.06,2019-05-20,Autumn,0.06307490144546649,5658.58
16,5632.981886048787,142.27,2019-05-23,Autumn,0.0,5708.318
40,5632.223458337779,145.49,2019-05-01,Autumn,0.001314060446780552,5639.844
39,5630.946903716841,161.67,2019-04-30,Autumn,0.001314060446780552,5787.184
38,5627.287035704662,136.03,2019-05-21,Autumn,0.002628120893561104,5854.674
17,5618.4711753904385,347.97,2019-05-06,Autumn,0.013140604467805518,5635.994
18,5617.851918275646,244.17,2019-05-24,Autumn,0.011826544021024966,5702.408
39,5603.018,239.25,2019-05-17,Autumn,0.0,5603.018
38,5588.262865599732,151.46,2019-05-08,Autumn,0.006570302233902759,5659.218
38,5586.806009879969,181.92,2019-04-16,Autumn,0.05387647831800263,5702.942
17,5583.183680602609,170.14,2019-05-02,Autumn,0.02759526938239159,5755.886
39,5576.109626449907,136.05,2019-05-21,Autumn,0.0,5789.888
18,5575.057687925565,137.22,2019-05-23,Autumn,0.018396846254927726,5619.42
