Trading_period,Load,Price,Trading_date,Season,Solar,Load_raw
17,5797.964459532417,544.66,2019-05-01,Autumn,0.035479632063074903,5919.3
37,5796.55148775859,337.77,2019-05-01,Autumn,0.017082785808147174,5918.736
16,5777.793482765054,522.24,2019-05-01,Autumn,0.001314060446780552,5940.876
37,5757.225069072371,614.29,2019-05-17,Autumn,0.003942181340341655,5783.74
38,5742.014147827898,165.96,2019-05-01,Autumn,0.017082785808147174,5895.724
36,5738.10858800157,324.15,2019-05-17,Autumn,0.07095926412614981,5765.03
37,5715.106443851718,338.11,2019-05-23,Autumn,0.002628120893561104,5832.152
38,5713.493186327549,311.17,2019-05-23,Autumn,0.002628120893561104,5803.632
38,5698.543996919777,322.3,2019-05-17,Autumn,0.003942181340341655,5727.462
36,5694.206926199813,336.23,2019-05-23,Autumn,0.06176084099868594,5804.756
18,5636.475279200449,366.03,2019-05-01,Autumn,0.035479632063074903,5768.366
16,5636.291209198084,350.93,2019-05-03,Autumn,0.001314060446780552,5702.422
36,5632.358450104261,170.94,2019-05-01,Autumn,0.14848883048620234,5697.19
15,5623.520201963708,369.35,2019-05-01,Autumn,0.001314060446780552,5802.434
39,5602.595212432341,152.57,2019-05-01,Autumn,0.001314060446780552,5777.286
39,5594.94157346437,244.48,2019-05-23,Autumn,0.0,5681.622
39,5552.368571365004,239.25,2019-05-17,Autumn,0.0,5603.018
17,5530.042536096672,294.27,2019-05-03,Autumn,0.026281208935611037,5706.822
17,5509.074419003286,347.97,2019-05-06,Autumn,0.013140604467805518,5635.994
16,5483.675250748947,218.02,2019-05-06,Autumn,0.001314060446780552,5584.93
15,5483.047811710116,241.32,2019-05-03,Autumn,0.001314060446780552,5503.494
40,5476.422169984397,145.49,2019-05-01,Autumn,0.001314060446780552,5639.844
40,5470.893930443049,415.74,2019-05-23,Autumn,0.0,5550.584
16,5451.380779497065,467.24,2019-05-24,Autumn,0.0,5812.726
41,5449.800819884533,201.96,2019-05-01,Autumn,0.001314060446780552,5558.678
19,5434.402227534022,288.72,2019-05-01,Autumn,0.164257555847569,5577.554
35,5425.054887749766,173.95,2019-05-17,Autumn,0.07095926412614981,5435.95
37,5400.962926903129,197.01,2019-05-03,Autumn,0.01445466491458607,5489.998
40,5397.108944342147,148.32,2019-05-17,Autumn,0.0,5481.68
38,5395.969463911261,196.89,2019-05-03,Autumn,0.01445466491458607,5460.06
37,5395.521637442636,204.94,2019-05-07,Autumn,0.002628120893561104,5796.71
35,5393.502139910364,332.25,2019-05-23,Autumn,0.06176084099868594,5481.458
41,5380.959360841785,204.77,2019-05-23,Autumn,0.0,5436.772
18,5379.5560120394985,217.44,2019-05-06,Autumn,0.013140604467805518,5532.266
17,5361.384664443216,308.52,2019-05-24,Autumn,0.011826544021024966,5802.834
37,5352.904273310192,157.56,2019-05-20,Autumn,0.002628120893561104,5972.96
36,5349.390062994243,188.39,2019-05-07,Autumn,0.035479632063074903,5705.238
38,5317.592247783131,197.51,2019-05-07,Autumn,0.002628120893561104,5739.146
37,5311.7503714481945,178.17,2019-05-06,Autumn,0.003942181340341655,5823.662
42,5309.358466838156,257.13,2019-05-01,Autumn,0.001314060446780552,5418.316
39,5304.42518848838,163.63,2019-05-03,Autumn,0.001314060446780552,5326.5
15,5296.5403785920735,206.57,2019-05-06,Autumn,0.001314060446780552,5352.51
36,5290.142084313975,167.37,2019-05-03,Autumn,0.13797634691195793,5358.574
15,5286.605326740094,221.21,2019-05-24,Autumn,0.0,5543.99
35,5265.177181157309,133.71,2019-05-01,Autumn,0.14848883048620234,5304.506
