Trading_period,Trading_date,Season,Tararua,Tararua_Embed,TeApiti,TeRereHau,TeUku,Westwind,Whitehill
1,2019-03-01,Autumn,0.08735174214131591,0.03947201807673379,0.013725638886782437,0.04396632366697849,0.8024957583269926,0.0612659869157777,0.1845982147046518
2,2019-03-01,Autumn,0.08138804204957371,0.03552555709811291,0.0019463613154369203,0.040887651023566944,0.8439948874526886,0.025638003182648673,0.3102653469027371
3,2019-03-01,Autumn,0.06031797863495296,0.012634357125122968,0.0,0.022714264281424354,0.8228718606046922,0.012730594683797962,0.49350306274028716
4,2019-03-01,Autumn,0.04251743147461631,0.0005006020836422687,0.0,0.008803329443840092,0.7504500542687044,0.029645782990510995,0.5159154914457007
5,2019-03-01,Autumn,0.03831402905565907,1.741925025689562e-5,0.0,0.012149610509815209,0.7462971536578537,0.029336358814168684,0.48551908254650566
6,2019-03-01,Autumn,0.05476885631415895,0.005412806612953284,0.0,0.008906798429717045,0.7465660465031605,0.021939647551128663,0.35781120204776773
7,2019-03-01,Autumn,0.05247118535856747,0.008247912813322489,0.0,0.007126661559061273,0.6709772799891139,0.002269110626510285,0.3897829254246594
8,2019-03-01,Autumn,0.05833610023406608,0.004663733771031367,0.0,0.02793192305105583,0.606562505046709,0.0,0.46640049320354904
9,2019-03-01,Autumn,0.09344829920212645,0.014142108040819987,0.0,0.020891799189273464,0.6058753344420359,0.0,0.5125142442779462
10,2019-03-01,Autumn,0.10622406316399902,0.025209814583832094,0.0,0.044886257014139036,0.678924557417073,0.0,0.41706450797022665
11,2019-03-01,Autumn,0.10258616037413987,0.031116410057457952,5.055483936199793e-5,0.05469982001099593,0.6894412553668534,1.4734484587729122e-5,0.3611766466137563
12,2019-03-01,Autumn,0.10622634985881946,0.03768348543665777,0.0,0.03685753402365959,0.6684676134329164,0.0,0.256919470271641
13,2019-03-01,Autumn,0.10112381903645998,0.03490286698769599,7.58322590429969e-5,0.026829978351466277,0.6136134729903118,0.0,0.21546005742680266
14,2019-03-01,Autumn,0.13898165247543862,0.05609834081611249,0.0032102322994868684,0.05330486995594574,0.5956872833031862,0.001827076088878411,0.24524782209597842
15,2019-03-01,Autumn,0.20059298570083997,0.10625572852075635,0.0195394454134122,0.12459547153873902,0.5687083678240619,0.014351387988448166,0.20891329381608964
16,2019-03-01,Autumn,0.28700718296577005,0.14230888513609632,0.049088749020499985,0.188005969219858,0.5321986948279493,0.015544881240054223,0.1563869356613958
17,2019-03-01,Autumn,0.33723695006132914,0.18719811873539813,0.10323298197719975,0.18594740671447874,0.3812601776623512,0.0041993281075028,0.1438875409423284
18,2019-03-01,Autumn,0.2900041251974561,0.14453275477379346,0.08321326558984858,0.16583726868214846,0.2920176300032772,0.0,0.12658346559425523
19,2019-03-01,Autumn,0.2409824189755424,0.1074865536296174,0.07654002679406487,0.13605513203818384,0.24552904474799794,0.0,0.06358073614323323
20,2019-03-01,Autumn,0.19563794669439968,0.07768568766747526,0.0637749298551604,0.09630611017283554,0.18559581722737445,0.0,0.09898364604116992
21,2019-03-01,Autumn,0.15421081131017553,0.05530278358086355,0.0365005940193625,0.06236122810161219,0.13068192281914615,0.0,0.27769609018922375
22,2019-03-01,Autumn,0.10074445636574678,0.027040001952783305,0.014104800181997423,0.037588871628380795,0.08189280988735245,0.0,0.3648305990400638
23,2019-03-01,Autumn,0.06462748369357924,0.004754806155526659,0.007355729127170698,0.010184640405297426,0.04544289085686359,0.0,0.3318480921657616
24,2019-03-01,Autumn,0.04022433390866575,0.0004267746366856365,0.0032355097191678673,0.0022725551807156385,0.020376102277699516,0.0,0.1707287267118865
25,2019-03-01,Autumn,0.02664822675963453,9.536107844225295e-5,0.00010110967872399585,0.0,0.001762741985900691,0.0,0.0619550923213892
26,2019-03-01,Autumn,0.013346522989057707,3.918429690293394e-5,7.58322590429969e-5,0.0,0.0,0.0,0.07835603221288232
27,2019-03-01,Autumn,0.005963242752778104,9.69058497728334e-5,0.0,0.0,0.0,0.0,0.05295986317385223
28,2019-03-01,Autumn,0.0,0.0,0.0,0.0,0.0,0.0,0.031718117235090215
29,2019-03-01,Autumn,0.0,0.0,0.0,0.0,0.007230229840474021,0.002048093357694348,0.022144881395342028
30,2019-03-01,Autumn,0.0,3.065499527611031e-7,0.0,0.0,0.03059403039936115,0.006276890434372606,0.1298347532379433
31,2019-03-01,Autumn,0.0,0.0,0.0,0.0,0.09748859491515179,0.00035362763010549894,0.10256006244922677
32,2019-03-01,Autumn,0.0,0.0,0.0,0.0,0.09817576551982495,0.0,0.09114443027805537
33,2019-03-01,Autumn,0.0,0.0,0.0,0.0,0.12381021677241465,0.0,0.1350368134678442
34,2019-03-01,Autumn,0.006789196921925836,3.0955534445483935e-7,0.0,0.0,0.1716731432370402,0.0,0.1300153803292593
35,2019-03-01,Autumn,0.04282887930916205,0.014139168767743512,0.004246606506407826,0.0,0.18977859482103712,0.0,0.15739844737276543
36,2019-03-01,Autumn,0.06366775787743498,0.023814146745961277,0.039180000505548394,1.787191574238292e-5,0.24424433448708727,0.0,0.14226189712048434
37,2019-03-01,Autumn,0.053108029866063715,0.011085573596631372,0.04279467151993125,5.8789196520996446e-5,0.32960287438061736,0.0,0.19854529877455104
38,2019-03-01,Autumn,0.0230094092918472,0.0006939479474754064,0.010161522711761585,0.0,0.4214148425615127,0.04822596805563742,0.2231105831935275
39,2019-03-01,Autumn,0.01055218191846378,0.0,0.0,0.0,0.36482783711581934,0.08573996581599576,0.2994074665654074
